[dotenv@17.2.3] injecting env (6) from .env.local -- tip: ≡ƒùé∩╕Å backup and recover secrets: https://dotenvx.com/ops
(node:23924) [MONGOOSE] Warning: `isNew` is a reserved schema pathname and may break some functionality. You are allowed to use it, but use at your own risk. To disable this warning pass `suppressReservedKeysWarning` as a schema option.
(Use `node --trace-warnings ...` to show where the warning was created)
Γ£à Connected to MongoDB
Γ£à Updated: "Mushroom Crispy" -> Γé╣190.00
Γ£à Updated: "Mushroom Fried Rice" -> Γé╣180.00
Γ£à Updated: "Mushroom Garlic Dry" -> Γé╣190.00
Γ£à Updated: "Mushroom Mangolian" -> Γé╣200.00
Γ£à Updated: "Mushroom Patai" -> Γé╣200.00
Γ£à Updated: "Mushroom Sz Fried Rice" -> Γé╣180.00
Γ£à Updated: "Mushroom Tikka Biryani" -> Γé╣230.00
Γ£à Updated: "Mushroom Tikka Kepsa" -> Γé╣220.00
Γ£à Updated: "Naan" -> Γé╣25.00
Γ£à Updated: "Navratan Pulao" -> Γé╣180.00
Γ£à Updated: "Nizami Biryani" -> Γé╣220.00
Γ£à Updated: "Palak Dal Khichadi" -> Γé╣170.00
Γ£à Updated: "Panacata" -> Γé╣100.00
Γ£à Updated: "Panchratna Dal" -> Γé╣180.00
Γ£à Updated: "Paneer 65" -> Γé╣200.00
Γ£à Updated: "Paneer Crispy" -> Γé╣200.00
Γ£à Updated: "Paneer Garlic Dry" -> Γé╣200.00
Γ£à Updated: "Paneer Hakka Noodle" -> Γé╣200.00
Γ£à Updated: "Paneer Manchurian Noodles" -> Γé╣200.00
Γ£à Updated: "Paneer Manchurian" -> Γé╣200.00
Γ£à Updated: "Paneer Masala Pav" -> Γé╣180.00
Γ£à Updated: "Paneer Patai" -> Γé╣210.00
Γ£à Updated: "Paneer Peppery Rice With Gravy" -> Γé╣220.00
Γ£à Updated: "Paneer Peppey Noodles With Gravy" -> Γé╣220.00
Γ£à Updated: "Paneer Stuff Parotha" -> Γé╣90.00
Γ£à Updated: "Paneer Tika Biryani" -> Γé╣230.00
Γ£à Updated: "Paneer Tikka Kepsa" -> Γé╣230.00
Γ£à Updated: "Paneer Triple Noodle" -> Γé╣210.00
Γ£à Updated: "Pav Bhaji" -> Γé╣160.00
Γ£à Updated: "Plain Butter Parotha" -> Γé╣70.00
Γ£à Updated: "Plain Manchurian Gravy" -> Γé╣160.00
Γ£à Updated: "Plain Schezwan Gravy" -> Γé╣160.00
Γ£à Updated: "Pyaz Pudina Kulcha" -> Γé╣40.00
Γ£à Updated: "Raita" -> Γé╣80.00
Γ£à Updated: "Roti" -> Γé╣15.00
Γ£à Updated: "Scripy Chilli Patato" -> Γé╣170.00
Γ£à Updated: "Singapore Noodle" -> Γé╣180.00
Γ£à Updated: "Solkadhi" -> Γé╣90.00
Γ£à Updated: "Soya Chaap Tikka Biryani" -> Γé╣230.00
Γ£à Updated: "Soya Chaap Tikka Pulav" -> Γé╣220.00
Γ£à Updated: "Soya Chilly" -> Γé╣200.00
Γ£à Updated: "Steam Rice" -> Γé╣120.00
Γ£à Updated: "Subz Aachari Pulao" -> Γé╣180.00
Γ£à Updated: "Subz Biryani" -> Γé╣200.00
Γ£à Updated: "Subz Tawa Pulao" -> Γé╣180.00
Γ£à Updated: "Tarkari Cheese Pav Bhaji" -> Γé╣220.00
Γ£à Updated: "Tarkari Fusion Biryani" -> Γé╣250.00
Γ£à Updated: "Tarkari Masala Pav" -> Γé╣190.00
Γ£à Updated: "Tarkari Pulao" -> Γé╣190.00
Γ£à Updated: "Veg 65" -> Γé╣180.00
Γ£à Updated: "Veg Chilly" -> Γé╣170.00
Γ£à Updated: "Veg Fried Rice" -> Γé╣160.00
Γ£à Updated: "Veg Garlic Dry" -> Γé╣180.00
Γ£à Updated: "Veg Jeera Fried Rice" -> Γé╣165.00
Γ£à Updated: "Veg Manchurian Noodle" -> Γé╣180.00
Γ£à Updated: "Veg Manchurian" -> Γé╣180.00
Γ£à Updated: "Veg Peppery Noodles With Gravy" -> Γé╣200.00
Γ£à Updated: "Veg Peppery Rice With Gravy" -> Γé╣200.00
ΓÜá∩╕Å  No price found for: "Veg Schezwan"
Γ£à Updated: "Veg Triple Noodle" -> Γé╣190.00
Γ£à Updated: "Veg Crispy" -> Γé╣180.00
Γ£à Updated: "Vegetable Noodle Soup" -> Γé╣140.00
Γ£à Updated: "Hot And Sour Soup " -> Γé╣140.00
Γ£à Updated: "Hot And Sour Soup " -> Γé╣140.00

≡ƒôè Update Summary:
   - Dishes Updated: 153
   - Dishes Skipped (No Match): 1
   - Total Dishes Proccessed: 154
